[1000268201_693b08cb0e.jpg#0]	ピンクのドレスの子供は、入り口で階段のセットを登っています。
[3113769557_9edbb8275c.jpg#1]	他の女性が何かの写真を撮っている間、女性はガラスの前に立つ。
[3113769557_9edbb8275c.jpg#2]	女性は彼女の両脇に腕を立て、他の人は写真を撮る。
[3113769557_9edbb8275c.jpg#3]	他の女性がカメラを持っている間、女性は店で彼女の腕を持って立っている。
[3113769557_9edbb8275c.jpg#4]	1人の女性が写真を撮り、別の女性が彼女の腕を横にして立っている。
[3114944484_28b5bb9842.jpg#0]	赤いシャツの女の子は、白いプラスチック製の椅子に座っている人々の群衆の中で彼女の母親を見ます
[3114944484_28b5bb9842.jpg#1]	一群の人々がカメラから離れています。
[3114944484_28b5bb9842.jpg#2]	カメラを背負っている少女と、女性に面した少女。
[3114944484_28b5bb9842.jpg#3]	群衆の真ん中で女性の顔を見ている少女。
[3114944484_28b5bb9842.jpg#4]	赤い身に着けている若い女の子は、座っている聴衆の反対側に向いています。
[3115174046_9e96b9ce47.jpg#0]	スケートボーダーが階段を飛び回る影を投げる。
[3115174046_9e96b9ce47.jpg#1]	スケートボーダーが階段から飛びます。
[3115174046_9e96b9ce47.jpg#2]	スケートボーダーは階段を飛びます。
[3115174046_9e96b9ce47.jpg#3]	短い階段の上でキックフリップを行うスケートボーダー。
[3115174046_9e96b9ce47.jpg#4]	薄暗い倉庫で階段の短い飛行を飛び跳ねるスケートボーダー。
[3115354165_44dbeec6c1.jpg#0]	群衆の前で空中スケートボーダー、
[3115354165_44dbeec6c1.jpg#1]	空中のスケートボーダー。
[3115354165_44dbeec6c1.jpg#2]	観客が見ながらスケートボーダーが飛びます。
[3115354165_44dbeec6c1.jpg#3]	スケートボーダーの卵です。
[3115354165_44dbeec6c1.jpg#4]	人がスケートボードを見ながらスケートボード競技を見ている人。
[3115901702_f07aa0ef74.jpg#0]	彼女は携帯電話を見て、他の人は見ているように女性が歩いています。
[3115901702_f07aa0ef74.jpg#1]	一緒に話しているいくつかの女性。
[3115901702_f07aa0ef74.jpg#2]	歩く3人の女の子、1人は彼女の携帯電話をチェックしている
[3115901702_f07aa0ef74.jpg#3]	3人の女の子が一緒に歩いて話す。
[3115901702_f07aa0ef74.jpg#4]	3人の高校生が歩き、AstroTurfで話す。
[3116011063_f4071ccce6.jpg#0]	海のサーフボードから落ちる男
[3116011063_f4071ccce6.jpg#1]	サーファーがクラッシュする波の上を飛ぶ。
[3116011063_f4071ccce6.jpg#2]	サーファーは大きな海の波に落ちています
[3116011063_f4071ccce6.jpg#3]	彼のボードから水中に落ちる黒いウェットスーツのサーファー。
[3116011063_f4071ccce6.jpg#4]	サーファーは波によって一掃されます。
[3116039960_54d1d68145.jpg#0]	女の子は歩くときに青い風船を持っています。
[3116039960_54d1d68145.jpg#1]	赤いシャツの女の子は、群衆の中に緑色の風船を持っています。
[3116039960_54d1d68145.jpg#2]	日本の女の子は緑色の風船を持っています。
[3116039960_54d1d68145.jpg#3]	赤いシャツを着たアジア人の少年は水中風船に乗る。
[3116039960_54d1d68145.jpg#4]	女の子は忙しい通りに青い風船を持っています。
[311619377_2ba3b36675.jpg#0]	パーカーの黒い髪の女性が香の棒を燃やしています。
[311619377_2ba3b36675.jpg#1]	女性は蒸気で満たされたプレートを見る。
[311619377_2ba3b36675.jpg#2]	女性が立って、煙が舞い上がるのを見ます。
[311619377_2ba3b36675.jpg#3]	女性は多くの燃える香を持っている銅のボウルの上に立つ。
[311619377_2ba3b36675.jpg#4]	女性はスモーキーな展覧会を見ている。
[3116379964_86986750af.jpg#0]	犬と二人。
[3116379964_86986750af.jpg#1]	女性が食べると犬が見えます。
[3116379964_86986750af.jpg#2]	彼らが食べている間、犬は男と女の間に座っている。
[3116379964_86986750af.jpg#3]	男と女の間に犬がいる食事で。
[3116379964_86986750af.jpg#4]	犬が彼女と男の隣に座っている間、女性が食べる。
[3116731299_6139b25c18.jpg#0]	小さな犬が口に小さな棒を持っています。
[3116731299_6139b25c18.jpg#1]	小さな犬が口に小さな小枝を運んでいる。
[3116731299_6139b25c18.jpg#2]	小さなスティックを取っている小さな犬。
[3116731299_6139b25c18.jpg#3]	小さな犬が口に棒を持っています。
[3116731299_6139b25c18.jpg#4]	小さな犬が緑の草の上を歩いている。
[3116769029_f5a76f04ba.jpg#0]	黄衣の男の子が赤い葉をカメラに投げつける。
[3116769029_f5a76f04ba.jpg#1]	少年は赤とオレンジの葉を空中に投げる。
[3116769029_f5a76f04ba.jpg#2]	少年が秋の葉で遊んでいます。
[3116769029_f5a76f04ba.jpg#3]	緑のシャツと茶色のジャケットを持つ少年は、オレンジの秋の葉を投げています。
[3116769029_f5a76f04ba.jpg#4]	若い男の子が秋に葉を投げる
[3116985493_04b1dc3345.jpg#0]	女性と彼女の娘はプールで飛びます。
[3116985493_04b1dc3345.jpg#1]	女性と子供が水中で遊ぶ。
[3116985493_04b1dc3345.jpg#2]	女と女の子が水に跳ねる。
[3116985493_04b1dc3345.jpg#3]	女性は大きな波の中に小さな女の子を抱えている。
[3116985493_04b1dc3345.jpg#4]	母と娘が波の中で遊ぶ。
[3117336911_a729f42869.jpg#0]	プールで遊んでいる子供たち。
[3117336911_a729f42869.jpg#1]	スイマーは水を移動します。
[3117336911_a729f42869.jpg#2]	水に浮かぶ2人の子供たち。
[3117336911_a729f42869.jpg#3]	水に浮かぶ2人の子供。
[3117336911_a729f42869.jpg#4]	2人が水の中にいて、飛び散っています。
[3117562746_62f57a02b5.jpg#0]	犬は別の犬を追いかける。
[3117562746_62f57a02b5.jpg#1]	2匹の犬が雪の中をボールで口の中を走っています。
[3117562746_62f57a02b5.jpg#2]	雪の中を走っている、彼らの口の中に赤いボールを持っている2匹の犬。
[3117562746_62f57a02b5.jpg#3]	雪の中の2匹の犬
[3117562746_62f57a02b5.jpg#4]	口の中に赤い球が入っている雪の中で、2頭の犬が走っています。
[3118425885_f0cc035032.jpg#0]	黄褐色のジャケットを着た金髪の女性は、レストランでシーフード料理を試食します。
[3118425885_f0cc035032.jpg#1]	忙しいレストランでは、金髪の女性が食事をしています。
[3118425885_f0cc035032.jpg#2]	魚を食べるぼんやりした女性。
[3118425885_f0cc035032.jpg#3]	レストランで大きな魚を食べる女性。
[3118425885_f0cc035032.jpg#4]	女性がレストランで魚を食べている。
[3118505332_b0792489b5.jpg#0]	男性と女性が唇を追求してカメラの姿勢をとる。
[3118505332_b0792489b5.jpg#1]	写真を撮る男性と女性
[3118505332_b0792489b5.jpg#2]	男と女は踊りながら笑う。
[3118505332_b0792489b5.jpg#3]	写真のために面白い顔をしている男と女。
[3118505332_b0792489b5.jpg#4]	女性と青いシャツの男が写真のためにポーズをとります。
[3118534315_cc03e5ddab.jpg#0]	男は彼の後ろに赤い旗があるものを記録しています。
[3118534315_cc03e5ddab.jpg#1]	ビデオカメラを持っている人はテーピングをしていて、別の人は見物人が通り過ぎる間に絵を描く。
[3118534315_cc03e5ddab.jpg#2]	ポールの前にカメラを置いて、それを書いている人。
[3118534315_cc03e5ddab.jpg#3]	女性が歩きながら若い男がビデオカメラを持っている間、子供はサインをします
[3118534315_cc03e5ddab.jpg#4]	男はポールの別の書き込みのビデオを撮影しています。
[3119076670_64b5340530.jpg#0]	スノーボーダーが空中を飛ぶ。
[3119076670_64b5340530.jpg#1]	スノーボーダーは、ほとんどが暗闇でスタントを演じています。
[3119076670_64b5340530.jpg#2]	スタントを演奏する空中のスノーボーダー。
[3119076670_64b5340530.jpg#3]	ハーフパイプでスノーボーダーがトリックをしています。
[3119076670_64b5340530.jpg#4]	スノーボーダーは深刻な空気を得る。
[3119696225_b289efaec8.jpg#0]	水の近くの崖の上でスタントを実行するバイクのライダー。
[3119696225_b289efaec8.jpg#1]	バイカーは、都市のビーチを渡ってジャンプを行います。
[3119696225_b289efaec8.jpg#2]	バックグラウンドで都市の海岸の地形とジャンプアウトドアをしてサイクリスト。
[3119696225_b289efaec8.jpg#3]	人は空中の自転車に乗っています。
[3119696225_b289efaec8.jpg#4]	人は自転車に乗っていて、その上空を飛んでいます。
[3119875880_22f9129a1c.jpg#0]	少年は岩を登る。
[3119875880_22f9129a1c.jpg#1]	男の子は彼の後ろの兄弟と父親と一緒にロックトンネルを通って這う。
[3119875880_22f9129a1c.jpg#2]	男は自然に形成された岩の中を遊ぶ小さな男の子2人を見る。
[3119875880_22f9129a1c.jpg#3]	子供たちは岩場で遊んでいます。
[3119875880_22f9129a1c.jpg#4]	子供たちは岩場で遊ぶ。
[3119887391_212f379797.jpg#0]	男と女は笑っている。
[3119887391_212f379797.jpg#1]	男と女が笑っている。
[3119887391_212f379797.jpg#2]	男と女は白いドアで一緒に笑う。
[3119887391_212f379797.jpg#3]	男と女は笑っている。
[3119887391_212f379797.jpg#4]	男と女はどちらも笑っている。
[3119887967_271a097464.jpg#0]	カメラを指しているセーターの男。
[3119887967_271a097464.jpg#1]	1人の男性が伸ばした腕と指を指差し、もう一方は彼の後ろを見つめます。
[3119887967_271a097464.jpg#2]	黒い帽子の男は指を指差している男の後ろに立っている。
[3119887967_271a097464.jpg#3]	2人の男性がカメラの方を向いていて、前の方が人差し指を指しています。
[3119887967_271a097464.jpg#4]	二人の男、一つは黒い帽子をはめ、前の一点は廊下に立っていた。
[3119903318_d032141839.jpg#0]	いくつかの花火の前の舞台で、激しいポーズでレスリングタイツの男が姿を現す。
[3119903318_d032141839.jpg#1]	背景に火のついた舞台に、シャツを着けていない男が立っている。
[3119903318_d032141839.jpg#2]	ショートパンツを着た男が爆発的な特殊効果の近くに立っている。
[3119903318_d032141839.jpg#3]	火のある舞台のほぼ裸の男。
[3119903318_d032141839.jpg#4]	レスラーが一連の爆発の前に姿を現す。
[3119913014_688d4997d7.jpg#0]	黒いベストの男がレールを歩いている。
[3119913014_688d4997d7.jpg#1]	男は腕を広げて広がり、開いたベストは彼の胸を露出させている。
[3119913014_688d4997d7.jpg#2]	ベストを着た男がコンサートでステージを歩く。
[3119913014_688d4997d7.jpg#3]	人々が彼の写真を撮っている間、レスラーのように服を着た男が歩く。
[3119913014_688d4997d7.jpg#4]	ベストを着たシャツレスの男が腕を上げてステージを歩いている。
[3120189281_1938460e85.jpg#0]	男の子、大人、雪の中を走る2匹の犬
[3120189281_1938460e85.jpg#1]	男と子供が2頭の犬で雪を歩きます。
[3120189281_1938460e85.jpg#2]	雪の中で犬と一緒に走っている家族。
[3120189281_1938460e85.jpg#3]	雪の中で2人の金色の犬を歩いている。
[3120189281_1938460e85.jpg#4]	2人の犬が雪の中で迷彩服を着た2人。
[3120266797_47e7d91614.jpg#0]	グループは遠くに立っていますが、空はいくつかの雲に興味深い光を投げかけます。
[3120266797_47e7d91614.jpg#1]	写真家が畑の木の下に立っていて、晴れた日に他の4人が右に立っています。
[3120266797_47e7d91614.jpg#2]	ダークブッシュ、人のシルエット、雲。
[3120266797_47e7d91614.jpg#3]	測量機器を備えた男性は景観の背景にあります。
[3120266797_47e7d91614.jpg#4]	人々と低木は、藍色の空に対してシルエットを描いています。
[3120648767_812c72eabe.jpg#0]	砂漠のバイカー。
[3120648767_812c72eabe.jpg#1]	男はオートバイの砂漠でジャンプする。
[3120648767_812c72eabe.jpg#2]	男はモトクロスを空中に飛ばしています。
[3120648767_812c72eabe.jpg#3]	男は砂漠の空気を通して彼の汚れの自転車に乗っている。
[3120648767_812c72eabe.jpg#4]	黒と銀を身につけたバイクのライダーは、砂地に車輪をかける。
[3120953244_b00b152246.jpg#0]	カメラに泡を吹く少年。
[3120953244_b00b152246.jpg#1]	小さな男の子と小さな女の子が泡で外で遊んでいます。
[3120953244_b00b152246.jpg#2]	小さな娘が草の中で彼の後ろに立っている間に泡を吹く小さな男の子。
[3120953244_b00b152246.jpg#3]	男の子が気泡を作る間、女の子には恋人がいる
[3120953244_b00b152246.jpg#4]	公園に泡を吹く2人の小さなブロンドの子供たち。
[3121482932_f77ca12c01.jpg#0]	埃の多い道に沿って乗っているヘルメットを着ている孤独な四輪車。
[3121482932_f77ca12c01.jpg#1]	ジーンズの男性が砂の上にATVに乗っています。
[3121482932_f77ca12c01.jpg#2]	乾燥した埃の多い地域では、四輪車の男性が空中にいる。
[3121482932_f77ca12c01.jpg#3]	ヘルメットの人が砂漠に四輪車を乗せています。
[3121482932_f77ca12c01.jpg#4]	人は四輪車に乗る。
[3121521593_18f0ec14f7.jpg#0]	メガネの笑顔の女の子と彼女の肩に傾いている黒いコートの笑顔の女の子と青い灰色のスカーフ。
[3121521593_18f0ec14f7.jpg#1]	他の女性の肩に頭を傾けている女性。
[3121521593_18f0ec14f7.jpg#2]	2人の女の子、1人のメガネを着て、寒い服を着た衣服をカメラの笑顔にします。
[3121521593_18f0ec14f7.jpg#3]	屋外で写真のポーズを取っている2人の女の子が暖かく
[3121521593_18f0ec14f7.jpg#4]	2人の若い女性は抱擁し、一緒に写真を撮ります。
[312156254_ef31dca5ed.jpg#0]	空の葉で覆われた領域で青いサッカーボールに飛び出しているオレンジ色のバンドナの黒い犬。
[312156254_ef31dca5ed.jpg#1]	黒い犬が葉の中のボールにぶつかる。
[312156254_ef31dca5ed.jpg#2]	黒い犬は青いボールを茶色の葉の庭に押し込む。
[312156254_ef31dca5ed.jpg#3]	犬は、乾燥した葉のフィールドの光沢のある青いサッカーボールで飛びます。
[312156254_ef31dca5ed.jpg#4]	赤い襟をした小さな黒い犬が青いボールの葉の中にあります。
[3122497129_d08f5729b8.jpg#0]	雪の中の2匹の犬に赤い紐があります。
[3122497129_d08f5729b8.jpg#1]	雪の中で戦っている2匹の犬。
[3122497129_d08f5729b8.jpg#2]	雪の中の2匹の犬が赤い紐で遊んでいます。
[3122497129_d08f5729b8.jpg#3]	2匹の犬が赤い紐で雪の中を遊ぶ。
[3122497129_d08f5729b8.jpg#4]	2匹の犬が雪の上に赤いひもで遊んでいます。
[3122579598_14841c038a.jpg#0]	遊び心のある子犬が若い男の子のシャツをかむ。
[3122579598_14841c038a.jpg#1]	2人の男の子と白い犬が公園に立つ。
[3122579598_14841c038a.jpg#2]	2人の子供が白い犬と遊ぶ。
[3122579598_14841c038a.jpg#3]	白い犬がセーターに噛み付いている間に、2人の子供が芝生に立っています。
[3122579598_14841c038a.jpg#4]	2人の子供が犬と遊んでいます。
[3122606953_a979dd3d33.jpg#0]	小さな黒い犬が、厚い雪で別の小さな黒い犬を追いかける。
[3122606953_a979dd3d33.jpg#1]	2つの黒い犬が雪を歩いています。
[3122606953_a979dd3d33.jpg#2]	2匹の犬がカメラから離れて雪の中を走っています。
[3122606953_a979dd3d33.jpg#3]	同じ品種の2匹の犬が、草を埋める雪の中を走っています。
[3122606953_a979dd3d33.jpg#4]	2つの大きな黒い犬が雪を通り抜けます。
[3122773470_b622205948.jpg#0]	一群の人々が草原を歩き回っています。
[3122773470_b622205948.jpg#1]	人々のグループは、森の隣のフィールドを通って一直線に歩いています。
[3122773470_b622205948.jpg#2]	草原を歩く人々のグループ。
[3122773470_b622205948.jpg#3]	自然に乗っている人々は、それらの左側に木々が付いたネットとバックパックで歩きます。
[3122773470_b622205948.jpg#4]	いくつかの人々は、手でネットで草を歩いている。
[3122888809_9ae9b4b9b2.jpg#0]	黒い犬と茶色の犬がお互いの鼻を嗅ぐ。
[3122888809_9ae9b4b9b2.jpg#1]	黒い犬と茶色の犬は、草原で鼻に触れる。
[3122888809_9ae9b4b9b2.jpg#2]	黒い犬は、茶色の犬で鼻に触れている。
[3122888809_9ae9b4b9b2.jpg#3]	2匹の犬がいて、1匹は黒く、もう1匹は茶色で、互いに嗅ぐ。
[3122888809_9ae9b4b9b2.jpg#4]	2匹の犬がフィールドでお互いを調べる。
[3122938209_2b2c6c1fab.jpg#0]	ライムグリーンのバイクで自転車に乗っています。
[3122938209_2b2c6c1fab.jpg#1]	黒の服を着た男性が緑色の自転車に乗る。
[3122938209_2b2c6c1fab.jpg#2]	男は手を使わずにBMXの自転車にストップトリックを行います。
[3122938209_2b2c6c1fab.jpg#3]	一人の車輪でトリックを実行している緑の自転車の男。
[3122938209_2b2c6c1fab.jpg#4]	男は彼の緑のバイクでトリックをしています。
[3123351642_3794f2f601.jpg#0]	明るい緑色のスノーボーダーが競争でジャンプをしています。
[3123351642_3794f2f601.jpg#1]	坂を登った後の空中のスノーボーダー。
[3123351642_3794f2f601.jpg#2]	スノーボーダーは雪の多い丘の上空を飛びます。
[3123351642_3794f2f601.jpg#3]	スノーボーダーがランプを発進します。
[3123351642_3794f2f601.jpg#4]	スノーボーダーは空中を航行します。
[3123463486_f5b36a3624.jpg#0]	茶色の黒い白い犬が砂利に沿って走ります。
[3123463486_f5b36a3624.jpg#1]	犬が走る
[3123463486_f5b36a3624.jpg#2]	小さな犬が砂の上を走っている。
[3123463486_f5b36a3624.jpg#3]	茶色の白い黒い犬は砂利の表面上を走っています。
[3123463486_f5b36a3624.jpg#4]	犬は砂利を横切って走っています。
[3123526484_02952e40fc.jpg#0]	通りの外に立っているカップル
[3123526484_02952e40fc.jpg#1]	都市の通りに立っている男性と女性。
[3123526484_02952e40fc.jpg#2]	黒を着た男と白を着た女性は笑っている。
[3123526484_02952e40fc.jpg#3]	女性と忙しい街通りに立っている男は、笑顔。
[3123526484_02952e40fc.jpg#4]	冬には2人がボストンの通りに立っています。
[3123770450_cedc16d162.jpg#0]	雪の中で一緒に鹿といくつかの七面鳥
[3123770450_cedc16d162.jpg#1]	鹿は雪の中で5頭の七面鳥を見る。
[3123770450_cedc16d162.jpg#2]	鹿と七面鳥の雪の中で。
[3123770450_cedc16d162.jpg#3]	鹿と七面鳥は雪の覆われた地面に立つ。
[3123770450_cedc16d162.jpg#4]	大きな七面鳥と鹿が雪の中に立っています。
[312427606_defa0dfaa8.jpg#0]	金髪の女の子が桃を食べている。
[312427606_defa0dfaa8.jpg#1]	桃を食べる女の子。
[312427606_defa0dfaa8.jpg#2]	女の子は桃を食べる。
[312427606_defa0dfaa8.jpg#3]	若いブロンドの女の子が桃を食べるのが好きです。
[312427606_defa0dfaa8.jpg#4]	桃を食べる金髪の若い女の子。
[3124549928_10904a5a83.jpg#0]	茶色のジャケットの少年は大きな塊の雪を持っています。
[3124549928_10904a5a83.jpg#1]	青いミトンを身に着けている少年は、雪を投げる準備ができています。
[3124549928_10904a5a83.jpg#2]	雪玉を投げようとしている子供。
[3124549928_10904a5a83.jpg#3]	彼は雪の塊を保持するように若い男の子が笑う。
[3124549928_10904a5a83.jpg#4]	雪で遊んでいる茶色のジャケットの少年。
[3124838157_7ef96745b7.jpg#0]	男と二人の女性が小売店の外に出る。
[3124838157_7ef96745b7.jpg#1]	短い女性は、店の前にいる2人の背の高い男性の間で、ビジネスの外に出ています。
[3124838157_7ef96745b7.jpg#2]	3人が店の窓の前に立って笑顔を浮かべます。
[3124838157_7ef96745b7.jpg#3]	背景に2つの大きな看板があるストアウィンドウの外に立っている3人
[3124838157_7ef96745b7.jpg#4]	2人の背の高い男性と、閉鎖している店の前に立っている短い女性
[3124964754_2e8a98fb09.jpg#0]	スケートボーディング中にバレルをジャンプする男。
[3124964754_2e8a98fb09.jpg#1]	男性はスケートボードのトリックをグリーンバレルで行います。
[3124964754_2e8a98fb09.jpg#2]	バレルを研削するスケートボーダー。
[3124964754_2e8a98fb09.jpg#3]	男は緑色のバレルにローラーをつけています。
[3124964754_2e8a98fb09.jpg#4]	スケートボーダーは緑色のバレルに飛び跳ねています。
[3125041578_c1f2d73b6d.jpg#0]	リング周りをスケートするアイススケーター
[3125041578_c1f2d73b6d.jpg#1]	アイススピードスケーターは、赤、青、グレーのユニフォームを着て氷上を滑っています。
[3125041578_c1f2d73b6d.jpg#2]	人スピードスケート
[3125041578_c1f2d73b6d.jpg#3]	アイスリンクのスピードスケーター。
[3125041578_c1f2d73b6d.jpg#4]	Speedskaterはレースをスケートする。
[3125158798_0743dae56e.jpg#0]	黒い服を着た男と赤の本を持つ女性。
[3125158798_0743dae56e.jpg#1]	男と女は石畳の通りに一緒に姿を現す。
[3125158798_0743dae56e.jpg#2]	よく服を着た男と女が写真のためにポーズをとります。
[3125158798_0743dae56e.jpg#3]	写真を撮った石畳の通りに男と女が一緒に立っている。
[3125158798_0743dae56e.jpg#4]	暖かく服を着た男と女は外に一緒に立つ。
[3125309108_1011486589.jpg#0]	男性グループがラグビーボールを手に入れる。
[3125309108_1011486589.jpg#1]	サッカーチームは勝利のプレーヤーを抱きしめている。
[3125309108_1011486589.jpg#2]	ラグビーマッチ
[3125309108_1011486589.jpg#3]	サッカー選手のチームは、赤、白、緑を着用して競い合っています。
[3125309108_1011486589.jpg#4]	ラグビーマッチでは、2人の対戦相手が空中にいる。
[3125628091_25a31709df.jpg#0]	パジャマの小さな男の子がサンタの帽子をかぶってソファーにくっついている。
[3125628091_25a31709df.jpg#1]	緑色の長袖のトップを着た小さな子供は、彼女の頭を枕に置く。
[3125628091_25a31709df.jpg#2]	クリスマス色の服を着た笑顔の子供。
[3125628091_25a31709df.jpg#3]	白い毛皮で赤い布を抱えてソファーに子供。
[3125628091_25a31709df.jpg#4]	緑のシャツを着た子供は笑っているベッドの上にいる
[3126225245_96cd2c053f.jpg#0]	紫色の床に縞模様のシャツを着た小さな子供が、泡を追いかけて興奮しています。
[3126225245_96cd2c053f.jpg#1]	若い幼児の少年は、内部の遊び場に泡で踊ります。
[3126225245_96cd2c053f.jpg#2]	小さな子供たちは大人が吹き飛ばすように泡で遊んでいます。
[3126225245_96cd2c053f.jpg#3]	子供は気泡で飛び跳ねる。
[3126225245_96cd2c053f.jpg#4]	ブロンドの髪の若い少年は、空気中の泡でスワイプします。
[3126681108_f88128699c.jpg#0]	暖かく服を着た人が家の外に雪を吹き飛ばしています。
[3126681108_f88128699c.jpg#1]	若い女の子が家の前で雪を吹き飛ばしている。
[3126681108_f88128699c.jpg#2]	子供は建物の外でブッシュの近くで雪を降ります。
[3126681108_f88128699c.jpg#3]	子供は家の近くの深い白い雪を吹き飛ばしている。
[3126681108_f88128699c.jpg#4]	雪の中を歩いている間、茶色のジャケットを着た女の子。
[3126724531_f483e1b92a.jpg#0]	一人の男性がサーフボードに立って大きな波を描いている。
[3126724531_f483e1b92a.jpg#1]	サーファーは大きな波をキャッチします。
[3126724531_f483e1b92a.jpg#2]	サーファーが波に乗る。
[3126724531_f483e1b92a.jpg#3]	サーファーが大きな波を横切って波を描く。
[3126724531_f483e1b92a.jpg#4]	ウェットスーツのサーファーが波に乗っています。
[3126752627_dc2d6674da.jpg#0]	他の選手がショットをブロックしようとしている間に撮影したバスケットボール選手。
[3126752627_dc2d6674da.jpg#1]	バスケットボールの選手は別の選手をブロックしようとします。
[3126752627_dc2d6674da.jpg#2]	2人のバスケットボール選手がボールに達する。
[3126752627_dc2d6674da.jpg#3]	2人の男がバスケットボールをしています
[3126752627_dc2d6674da.jpg#4]	2人の男がバスケットボールのために飛びます。
[3126773489_7ae425af17.jpg#0]	バスケットボールの選手は別の選手を守る。
[3126773489_7ae425af17.jpg#1]	バスケットボールを持つ男は、ボールを取ろうとする試みをブロックする。
[3126773489_7ae425af17.jpg#2]	男はゲームでバスケットボールで他の男に走る。
[3126773489_7ae425af17.jpg#3]	白のプレーヤーはボールをドリブルし、オレンジのプレーヤーは彼を止めようとします。
[3126773489_7ae425af17.jpg#4]	バスケットボールの試合で2人の男が遊んでいます。
[3126795109_73920ed5dc.jpg#0]	大げさなバスケットボール選手が右手にボールを立てて立っている。
[3126795109_73920ed5dc.jpg#1]	彼のシャツにマイアミ5のボールを持っているバスケットボール選手。
[3126795109_73920ed5dc.jpg#2]	バスケットボールをする男。
[3126795109_73920ed5dc.jpg#3]	コートの右手にバスケットボールを持つマイアミのバスケットボール選手。
[3126795109_73920ed5dc.jpg#4]	マイアミの男子バスケットボールチームの5番はボールを持っています。
[3126981064_1e803c3d7f.jpg#0]	黒いウェットスーツの男性が大きな波に乗ってサーフィンをしています。
[3126981064_1e803c3d7f.jpg#1]	サーフィンのウェットスーツの男性。
[3126981064_1e803c3d7f.jpg#2]	サーファーが大きな波に乗っています。
[3126981064_1e803c3d7f.jpg#3]	2人のサーファーが同じ巨大な波を海に捉えています。
[3126981064_1e803c3d7f.jpg#4]	2人のサーファーが波に乗る。
[3127142756_bf0bfcb571.jpg#0]	雪の中に2頭の黒い犬。
[3127142756_bf0bfcb571.jpg#1]	2頭の黒い犬が雪の中を飛びます。
[3127142756_bf0bfcb571.jpg#2]	2頭の黒い犬が芝生の中の雪の中を走ります。
[3127142756_bf0bfcb571.jpg#3]	2頭の犬が走って雪の中を遊んでいる
[3127142756_bf0bfcb571.jpg#4]	雪の中で遊ぶ2匹の犬。
[3127614086_9f1d3cf73d.jpg#0]	バスケットボールの選手は、他の選手からバスケットボールを取得しようとします。
[3127614086_9f1d3cf73d.jpg#1]	速いペースでバスケットボールのアクション
[3127614086_9f1d3cf73d.jpg#2]	白い服とオレンジのスニーカーを着たバスケットボール選手はレイアップをしています。
[3127614086_9f1d3cf73d.jpg#3]	2人の男がバスケットボールをしています
[3127614086_9f1d3cf73d.jpg#4]	1人のボールプレーヤーが無力で腕時計を見ている間に、別のボールプレーヤーがジャンプし、ボールをバスケットの方に撃ちます。
[3127629248_a955b5763b.jpg#0]	バスケットボール選手がレイアップをしようとしています。
[3127629248_a955b5763b.jpg#1]	群衆の前に4人のバスケットボール選手。
[3127629248_a955b5763b.jpg#2]	マイアミとクレムソンがバスケットボールの試合をして、ボールを敷く1人の選手
[3127629248_a955b5763b.jpg#3]	白のバスケットボール選手は、オレンジチームに対してポイントを獲得するために飛び跳ねている。
[3127629248_a955b5763b.jpg#4]	ホワイトジャージーの男が得点しようとしていて、彼の相手はボールをキャッチしようとしています。
[3127888173_9a9a8ac3bd.jpg#0]	小さな子供たちが一緒に立って何かの賞を受ける。
[3127888173_9a9a8ac3bd.jpg#1]	3人の子供が番号のついたブロックにバスケットで立っています。
[3127888173_9a9a8ac3bd.jpg#2]	3人の子供が表彰台に立って、賞を待ちます。
[3127888173_9a9a8ac3bd.jpg#3]	3人の子供が1位、2位、3位を表す台座に立っています。
[3127888173_9a9a8ac3bd.jpg#4]	3人の子供が台座に立つ。
[3128164023_ebe8da4c32.jpg#0]	犬はお互いを追いかける。
[3128164023_ebe8da4c32.jpg#1]	2頭の茶色と白い犬が濡れた砂の上を走りながら闘います。
[3128164023_ebe8da4c32.jpg#2]	2匹の犬、黒っぽい砂の上に茶色の斑点を持つ同一の白い鳥がいます。
[3128164023_ebe8da4c32.jpg#3]	2つの白と茶色の犬は、ビーチで遊んでいます。
[3128164023_ebe8da4c32.jpg#4]	茶色の刻印をした2匹の白い犬。
[3128514681_a51b415c31.jpg#0]	夜に道路の横にドレスを着た2人の女性が姿を現す。
[3128514681_a51b415c31.jpg#1]	ドレスを着た2人の女性が通りに立って姿を現す。
[3128514681_a51b415c31.jpg#2]	ドレスの2人の女性が通りにポーズをとる。
[3128514681_a51b415c31.jpg#3]	道路の側に2人の女性。
[3128514681_a51b415c31.jpg#4]	2人の女性がドレスとヒールを身に着け、通りに吊り下ろしている。
[3128856481_86e5df4160.jpg#0]	水中で翼を広げる白いアヒル。
[3128856481_86e5df4160.jpg#1]	白いアヒルが水上に座っている間に羽を広げています。
[3128856481_86e5df4160.jpg#2]	白いアヒルは水中で翼を広げます。
[3128856481_86e5df4160.jpg#3]	白い鳥が水に座って翼を広げる
[3128856481_86e5df4160.jpg#4]	白いアヒルが水中で羽ばたく。
[3130064588_6d1d3fa2dd.jpg#0]	水を乗ってボートに乗っている2人の男の子。
[3130064588_6d1d3fa2dd.jpg#1]	水中でボートに座っている2人の男の子。
[3130064588_6d1d3fa2dd.jpg#2]	2人の男が青とオレンジのボートに乗っています。
[3130064588_6d1d3fa2dd.jpg#3]	2人の男が青い水を見下ろすドックに座っています。
